HPfrb1ch08-0001	type            	– À côté du grand type roux.
HPfrb1ch08-0012	craie           	Quasi-Sans-Tête était toujours heureux d’aider les nouveaux de Gryffondor à trouver leur chemin, mais Peeves, l’esprit frappeur, était pire que deux portes verrouillées et un faux escalier ; il bombardait les nouveaux de morceaux de craie, tirait les tapis sous leurs pieds, renversait des corbeilles à papier sur leur tête ou se glissait silencieusement derrière eux et leur attrapait le nez en hurlant : « JE T’AI EU ! » d’une voix perçante.
HPfrb1ch08-0013	corbeille       	Quasi-Sans-Tête était toujours heureux d’aider les nouveaux de Gryffondor à trouver leur chemin, mais Peeves, l’esprit frappeur, était pire que deux portes verrouillées et un faux escalier ; il bombardait les nouveaux de morceaux de craie, tirait les tapis sous leurs pieds, renversait des corbeilles à papier sur leur tête ou se glissait silencieusement derrière eux et leur attrapait le nez en hurlant : « JE T’AI EU ! » d’une voix perçante.
HPfrb1ch08-0014	silencieusement 	Quasi-Sans-Tête était toujours heureux d’aider les nouveaux de Gryffondor à trouver leur chemin, mais Peeves, l’esprit frappeur, était pire que deux portes verrouillées et un faux escalier ; il bombardait les nouveaux de morceaux de craie, tirait les tapis sous leurs pieds, renversait des corbeilles à papier sur leur tête ou se glissait silencieusement derrière eux et leur attrapait le nez en hurlant : « JE T’AI EU ! » d’une voix perçante.
HPfrb1ch08-0015	hurlant         	Quasi-Sans-Tête était toujours heureux d’aider les nouveaux de Gryffondor à trouver leur chemin, mais Peeves, l’esprit frappeur, était pire que deux portes verrouillées et un faux escalier ; il bombardait les nouveaux de morceaux de craie, tirait les tapis sous leurs pieds, renversait des corbeilles à papier sur leur tête ou se glissait silencieusement derrière eux et leur attrapait le nez en hurlant : « JE T’AI EU ! » d’une voix perçante.
HPfrb1ch08-0016	toutefois       	Mais pire encore que Peeves, si toutefois c’était possible, il y avait Argus Rusard, le concierge.
HPfrb1ch08-0017	malchance       	Rusard les avait surpris alors qu’ils essayaient d’ouvrir une porte qui, par malchance, s’était révélée être l’entrée du couloir interdit du troisième étage.
HPfrb1ch08-0018	cachot          	Il était convaincu qu’ils avaient tenté de la forcer exprès et il les avait menacés de les enfermer au cachot.
HPfrb1ch08-0019	secours         	Heureusement, le professeur Quirrell qui passait par là était venu à leur secours.
HPfrb1ch08-0020	teigne          	Rusard avait une chatte qui s’appelait Miss Teigne, une créature grisâtre et décharnée avec des yeux globuleux qui brillaient comme des lampes, à l’image de ceux de son maître.
HPfrb1ch08-0021	créature        	Rusard avait une chatte qui s’appelait Miss Teigne, une créature grisâtre et décharnée avec des yeux globuleux qui brillaient comme des lampes, à l’image de ceux de son maître.
HPfrb1ch08-0022	décharné        	Rusard avait une chatte qui s’appelait Miss Teigne, une créature grisâtre et décharnée avec des yeux globuleux qui brillaient comme des lampes, à l’image de ceux de son maître.
HPfrb1ch08-0023	globuleux       	Rusard avait une chatte qui s’appelait Miss Teigne, une créature grisâtre et décharnée avec des yeux globuleux qui brillaient comme des lampes, à l’image de ceux de son maître.
HPfrb1ch08-0024	image           	Rusard avait une chatte qui s’appelait Miss Teigne, une créature grisâtre et décharnée avec des yeux globuleux qui brillaient comme des lampes, à l’image de ceux de son maître.
HPfrb1ch08-0025	sillonner       	Elle sillonnait les couloirs toute seule et dès qu’elle voyait quelqu’un commettre la moindre faute, ne serait-ce que poser un orteil au-delà d’une ligne interdite, elle filait prévenir son maître qui accourait aussitôt en soufflant comme un bœuf.
HPfrb1ch08-0026	faute           	Elle sillonnait les couloirs toute seule et dès qu’elle voyait quelqu’un commettre la moindre faute, ne serait-ce que poser un orteil au-delà d’une ligne interdite, elle filait prévenir son maître qui accourait aussitôt en soufflant comme un bœuf.
HPfrb1ch08-0027	orteil          	Elle sillonnait les couloirs toute seule et dès qu’elle voyait quelqu’un commettre la moindre faute, ne serait-ce que poser un orteil au-delà d’une ligne interdite, elle filait prévenir son maître qui accourait aussitôt en soufflant comme un bœuf.
HPfrb1ch08-0028	accourir        	Elle sillonnait les couloirs toute seule et dès qu’elle voyait quelqu’un commettre la moindre faute, ne serait-ce que poser un orteil au-delà d’une ligne interdite, elle filait prévenir son maître qui accourait aussitôt en soufflant comme un bœuf.
HPfrb1ch08-0029	bœuf            	Elle sillonnait les couloirs toute seule et dès qu’elle voyait quelqu’un commettre la moindre faute, ne serait-ce que poser un orteil au-delà d’une ligne interdite, elle filait prévenir son maître qui accourait aussitôt en soufflant comme un bœuf.
HPfrb1ch08-0030	consister       	Lorsqu’on avait enfin réussi à trouver la salle de classe, il fallait arriver à suivre les cours et Harry découvrit très vite que l’exercice de la magie ne consistait pas seulement à brandir une baguette magique en marmonnant quelques paroles un peu bizarres.
HPfrb1ch08-0031	mercredi        	Chaque mercredi soir, ils observaient le ciel au télescope et apprenaient les noms des étoiles ainsi que le mouvement des planètes.
HPfrb1ch08-0032	plante          	Trois fois par semaine, ils étudiaient les plantes et les champignons étranges dans les serres situées à l’arrière du château, sous la direction d’une petite sorcière joliment potelée qui s’appelait le professeur Chourave.
HPfrb1ch08-0033	joliment        	Trois fois par semaine, ils étudiaient les plantes et les champignons étranges dans les serres situées à l’arrière du château, sous la direction d’une petite sorcière joliment potelée qui s’appelait le professeur Chourave.
HPfrb1ch08-0034	potelé          	Trois fois par semaine, ils étudiaient les plantes et les champignons étranges dans les serres situées à l’arrière du château, sous la direction d’une petite sorcière joliment potelée qui s’appelait le professeur Chourave.
HPfrb1ch08-0035	ennuyeux        	Les cours les plus ennuyeux étaient ceux d’histoire de la magie qui était enseignée par le seul professeur fantôme du collège.
HPfrb1ch08-0036	monocorde       	Binns parlait sans cesse d’une voix monocorde tandis que les élèves griffonnaient des noms de sorciers célèbres en confondant Emeric le Hargneux et Ulric le Follingue.
HPfrb1ch08-0037	hargneux        	Binns parlait sans cesse d’une voix monocorde tandis que les élèves griffonnaient des noms de sorciers célèbres en confondant Emeric le Hargneux et Ulric le Follingue.
HPfrb1ch08-0038	renverse        	Au début de leur premier cours, pendant qu’il faisait l’appel, il poussa un petit cri aigu en voyant le nom de Harry et tomba à la renverse.
HPfrb1ch08-0039	strict          	Elle était stricte, intelligente et leur parla très directement dès le début du premier cours.
HPfrb1ch08-0040	directement     	Elle était stricte, intelligente et leur parla très directement dès le début du premier cours.
HPfrb1ch08-0041	chahut          	Quiconque fera du chahut pendant mes cours sera immédiatement renvoyé avec interdiction de revenir.
HPfrb1ch08-0042	interdiction    	Quiconque fera du chahut pendant mes cours sera immédiatement renvoyé avec interdiction de revenir.
HPfrb1ch08-0043	redonner        	Elle avait alors changé son bureau en cochon puis lui avait redonné sa forme d’origine.
HPfrb1ch08-0044	démonstration   	La démonstration était impressionnante et les élèves avaient hâte de commencer les cours au plus vite, mais ils s’étaient bientôt rendu compte qu’ils n’étaient pas près d’en faire autant.
HPfrb1ch08-0045	impressionnant  	La démonstration était impressionnante et les élèves avaient hâte de commencer les cours au plus vite, mais ils s’étaient bientôt rendu compte qu’ils n’étaient pas près d’en faire autant.
HPfrb1ch08-0046	compliqué       	Après avoir suivi des explications très compliquées, ils avaient commencé à s’exercer en essayant de changer une allumette en aiguille, mais seule Hermione Granger avait obtenu un résultat.
HPfrb1ch08-0047	exercer         	Après avoir suivi des explications très compliquées, ils avaient commencé à s’exercer en essayant de changer une allumette en aiguille, mais seule Hermione Granger avait obtenu un résultat.
HPfrb1ch08-0048	impatience      	Le cours que tout le monde attendait avec impatience, c’était celui de la défense contre les forces du Mal, mais l’enseignement de Quirrell tournait plutôt à la farce.
HPfrb1ch08-0049	enseignement    	Le cours que tout le monde attendait avec impatience, c’était celui de la défense contre les forces du Mal, mais l’enseignement de Quirrell tournait plutôt à la farce.
HPfrb1ch08-0050	imprégner       	La salle de classe était imprégnée d’une forte odeur d’ail destiné à éloigner le vampire que le professeur avait rencontré en Roumanie et qu’il craignait de voir arriver un jour à Poudlard.
HPfrb1ch08-0051	ail             	La salle de classe était imprégnée d’une forte odeur d’ail destiné à éloigner le vampire que le professeur avait rencontré en Roumanie et qu’il craignait de voir arriver un jour à Poudlard.
HPfrb1ch08-0052	prince          	Son turban, avait-il expliqué à ses élèves, lui avait été offert par un prince africain pour le remercier de l’avoir débarrassé d’un zombie, mais son histoire sonnait faux.
HPfrb1ch08-0053	africain        	Son turban, avait-il expliqué à ses élèves, lui avait été offert par un prince africain pour le remercier de l’avoir débarrassé d’un zombie, mais son histoire sonnait faux.
HPfrb1ch08-0054	zombie          	Son turban, avait-il expliqué à ses élèves, lui avait été offert par un prince africain pour le remercier de l’avoir débarrassé d’un zombie, mais son histoire sonnait faux.
HPfrb1ch08-0055	combattre       	Quirrell, en effet, avait été incapable de raconter comment il avait combattu le zombie.
HPfrb1ch08-0056	permanence      	En plus, le turban dégageait la même odeur que la salle de classe, ce qui avait fait dire aux jumeaux Weasley que le professeur l’avait rempli d’ail pour se protéger en permanence des vampires.
HPfrb1ch08-0057	avantage        	Il y avait tant de choses à apprendre que même quelqu’un comme Ron ne tirait pas grand avantage de son appartenance à une vieille famille de sorciers.
HPfrb1ch08-0058	appartenance    	Il y avait tant de choses à apprendre que même quelqu’un comme Ron ne tirait pas grand avantage de son appartenance à une vieille famille de sorciers.
HPfrb1ch08-0059	avantager       	On dit qu’il essaye toujours de les avantager, on verra bien si c’est vrai.
HPfrb1ch08-0060	propriétaire    	Harry s’était habitué à voir entrer chaque matin dans la Grande Salle, au moment du petit déjeuner, une centaine de hiboux qui tournoyaient au-dessus des tables en laissant tomber lettres et paquets sur les genoux de leur propriétaire.
HPfrb1ch08-0061	mordiller       	Parfois, elle venait le voir pour lui mordiller l’oreille et grignoter un morceau de toast avant de retourner dans la volière réservée aux hiboux.
HPfrb1ch08-0062	grignoter       	Parfois, elle venait le voir pour lui mordiller l’oreille et grignoter un morceau de toast avant de retourner dans la volière réservée aux hiboux.
HPfrb1ch08-0063	volière         	Parfois, elle venait le voir pour lui mordiller l’oreille et grignoter un morceau de toast avant de retourner dans la volière réservée aux hiboux.
HPfrb1ch08-0064	confiture       	Ce matin-là, cependant, elle vint voleter entre la confiture et le sucrier et déposa une lettre dans l’assiette de Harry.
HPfrb1ch08-0065	sucrier         	Ce matin-là, cependant, elle vint voleter entre la confiture et le sucrier et déposa une lettre dans l’assiette de Harry.
HPfrb1ch08-0066	message         	Puis il confia le message à Hedwige qui l’emporta vers son destinataire.
HPfrb1ch08-0067	destinataire    	Puis il confia le message à Hedwige qui l’emporta vers son destinataire.
HPfrb1ch08-0068	baume           	La perspective de prendre le thé avec Hagrid mit un peu de baume au cœur de Harry.
HPfrb1ch08-0069	nul             	Car le cours de potions magiques fut sans nul doute la pire épreuve qu’il ait eu à subir depuis son arrivée au collège.
HPfrb1ch08-0070	épreuve         	Car le cours de potions magiques fut sans nul doute la pire épreuve qu’il ait eu à subir depuis son arrivée au collège.
HPfrb1ch08-0071	haïr            	À la fin du premier cours de potions, il se rendit compte qu’il s’était trompé : en réalité, Rogue le haïssait.
HPfrb1ch08-0072	formol          	Il y faisait plus froid que dans le reste du château et les animaux qui flottaient dans des bocaux de formol alignés le long des murs rendaient l’endroit encore plus effrayant.
HPfrb1ch08-0073	effrayant       	Il y faisait plus froid que dans le reste du château et les animaux qui flottaient dans des bocaux de formol alignés le long des murs rendaient l’endroit encore plus effrayant.
HPfrb1ch08-0074	pause           	Lorsqu’il fut arrivé au nom de Harry, il marqua une pause.
HPfrb1ch08-0075	célébrité       	– Ah oui, dit-il. Harry Potter. Notre nouvelle… célébrité.
HPfrb1ch08-0076	achever         	Rogue acheva de faire l’appel et releva la tête.
HPfrb1ch08-0077	science         	– Vous êtes ici pour apprendre la science subtile et l’art rigoureux de la préparation des potions, dit-il.
HPfrb1ch08-0078	subtil          	– Vous êtes ici pour apprendre la science subtile et l’art rigoureux de la préparation des potions, dit-il.
HPfrb1ch08-0079	art             	– Vous êtes ici pour apprendre la science subtile et l’art rigoureux de la préparation des potions, dit-il.
HPfrb1ch08-0080	rigoureux       	– Vous êtes ici pour apprendre la science subtile et l’art rigoureux de la préparation des potions, dit-il.
HPfrb1ch08-0081	préparation     	– Vous êtes ici pour apprendre la science subtile et l’art rigoureux de la préparation des potions, dit-il.
HPfrb1ch08-0082	bouillonner     	Ici, on ne s’amuse pas à agiter des baguettes magiques, je m’attends donc à ce que vous ne compreniez pas grand-chose à la beauté d’un chaudron qui bouillonne doucement en laissant échapper des volutes scintillantes, ni à la délicatesse d’un liquide qui s’insinue dans les veines d’un homme pour ensorceler peu à peu son esprit et lui emprisonner les sens…
HPfrb1ch08-0083	volute          	Ici, on ne s’amuse pas à agiter des baguettes magiques, je m’attends donc à ce que vous ne compreniez pas grand-chose à la beauté d’un chaudron qui bouillonne doucement en laissant échapper des volutes scintillantes, ni à la délicatesse d’un liquide qui s’insinue dans les veines d’un homme pour ensorceler peu à peu son esprit et lui emprisonner les sens…
HPfrb1ch08-0084	veine           	Ici, on ne s’amuse pas à agiter des baguettes magiques, je m’attends donc à ce que vous ne compreniez pas grand-chose à la beauté d’un chaudron qui bouillonne doucement en laissant échapper des volutes scintillantes, ni à la délicatesse d’un liquide qui s’insinue dans les veines d’un homme pour ensorceler peu à peu son esprit et lui emprisonner les sens…
HPfrb1ch08-0085	emprisonner     	Ici, on ne s’amuse pas à agiter des baguettes magiques, je m’attends donc à ce que vous ne compreniez pas grand-chose à la beauté d’un chaudron qui bouillonne doucement en laissant échapper des volutes scintillantes, ni à la délicatesse d’un liquide qui s’insinue dans les veines d’un homme pour ensorceler peu à peu son esprit et lui emprisonner les sens…
HPfrb1ch08-0086	gloire          	Je pourrais vous apprendre à mettre la gloire en bouteille, à distiller la grandeur, et même à enfermer la mort dans un flacon si vous étiez autre chose qu’une de ces bandes de cornichons à qui je dispense habituellement mes cours.
HPfrb1ch08-0087	distiller       	Je pourrais vous apprendre à mettre la gloire en bouteille, à distiller la grandeur, et même à enfermer la mort dans un flacon si vous étiez autre chose qu’une de ces bandes de cornichons à qui je dispense habituellement mes cours.
HPfrb1ch08-0088	flacon          	Je pourrais vous apprendre à mettre la gloire en bouteille, à distiller la grandeur, et même à enfermer la mort dans un flacon si vous étiez autre chose qu’une de ces bandes de cornichons à qui je dispense habituellement mes cours.
HPfrb1ch08-0089	cornichon       	Je pourrais vous apprendre à mettre la gloire en bouteille, à distiller la grandeur, et même à enfermer la mort dans un flacon si vous étiez autre chose qu’une de ces bandes de cornichons à qui je dispense habituellement mes cours.
HPfrb1ch08-0090	dispenser       	Je pourrais vous apprendre à mettre la gloire en bouteille, à distiller la grandeur, et même à enfermer la mort dans un flacon si vous étiez autre chose qu’une de ces bandes de cornichons à qui je dispense habituellement mes cours.
HPfrb1ch08-0091	prouver         	Hermione Granger était assise tout au bord de sa chaise et avait visiblement hâte de prouver qu’elle n’avait rien d’un cornichon.
HPfrb1ch08-0092	infusion        	Qu’est-ce que j’obtiens quand j’ajoute de la racine d’asphodèle en poudre à une infusion d’armoise ?
HPfrb1ch08-0093	décontenancer   	Harry jeta un coup d’œil à Ron qui parut aussi décontenancé que lui.
HPfrb1ch08-0094	rictus          	Rogue eut un rictus méprisant.
HPfrb1ch08-0095	méprisant       	Rogue eut un rictus méprisant.
HPfrb1ch08-0096	intituler       	En fait, il avait bel et bien ouvert ses livres quand il était encore chez les Dursley, mais Rogue ne pouvait pas exiger de lui qu’il ait retenu tout ce que contenait le manuel intitulé Mille herbes et champignons magiques.
HPfrb1ch08-0097	frémissant      	Rogue ne faisait toujours pas attention à la main frémissante d’Hermione.
HPfrb1ch08-0098	information     	Pour votre information, Potter, sachez que le mélange d’asphodèle et d’armoise donne un somnifère si puissant qu’on l’appelle la Goutte du Mort vivant.
HPfrb1ch08-0099	somnifère       	Pour votre information, Potter, sachez que le mélange d’asphodèle et d’armoise donne un somnifère si puissant qu’on l’appelle la Goutte du Mort vivant.
HPfrb1ch08-0100	chèvre          	Un bézoard est une pierre qu’on trouve dans l’estomac des chèvres et qui constitue un antidote à la plupart des poisons.
HPfrb1ch08-0101	antidote        	Un bézoard est une pierre qu’on trouve dans l’estomac des chèvres et qui constitue un antidote à la plupart des poisons.
HPfrb1ch08-0102	poison          	Un bézoard est une pierre qu’on trouve dans l’estomac des chèvres et qui constitue un antidote à la plupart des poisons.
HPfrb1ch08-0103	impertinence    	– Et votre impertinence coûtera un point à Gryffondor, Potter, ajouta Rogue.
HPfrb1ch08-0104	furoncle        	Il répartit alors les élèves deux par deux et leur fit préparer une potion destinée à soigner les furoncles.
HPfrb1ch08-0105	repasser        	Il passait et repassait parmi les élèves, sa longue cape noire flottant derrière lui, en les regardant peser des orties séchées et écraser des crochets de serpent.
HPfrb1ch08-0106	ortie           	Il passait et repassait parmi les élèves, sa longue cape noire flottant derrière lui, en les regardant peser des orties séchées et écraser des crochets de serpent.
HPfrb1ch08-0107	critique        	Chacun eut droit à de sévères critiques, sauf Malefoy pour qui il semblait éprouver de la sympathie.
HPfrb1ch08-0108	bouillir        	Il leur demanda d’ailleurs de regarder comment celui-ci avait fait bouillir ses limaces à cornes, quand soudain, un nuage de fumée verte accompagné d’un sifflement sonore emplit le cachot.
HPfrb1ch08-0109	nuage           	Il leur demanda d’ailleurs de regarder comment celui-ci avait fait bouillir ses limaces à cornes, quand soudain, un nuage de fumée verte accompagné d’un sifflement sonore emplit le cachot.
HPfrb1ch08-0110	emplir          	Il leur demanda d’ailleurs de regarder comment celui-ci avait fait bouillir ses limaces à cornes, quand soudain, un nuage de fumée verte accompagné d’un sifflement sonore emplit le cachot.
HPfrb1ch08-0111	asperger        	Un instant plus tard, toute la classe était debout sur les tabourets et Neville, aspergé de potion lorsque le chaudron avait fondu, gémissait de douleur tandis que des furoncles rouges et enflammés lui poussaient sur tout le corps.
HPfrb1ch08-0112	gronder         	– Imbécile ! gronda Rogue en faisant disparaître d’un coup de baguette la potion répandue sur le sol.
HPfrb1ch08-0113	épine           	J’imagine que vous avez ajouté les épines de porc-épic avant de retirer le chaudron du feu ?
HPfrb1ch08-0114	retirer         	J’imagine que vous avez ajouté les épines de porc-épic avant de retirer le chaudron du feu ?
HPfrb1ch08-0115	infirmerie      	– Emmenez-le à l’infirmerie, ordonna Rogue à Seamus.
HPfrb1ch08-0116	injuste         	C’était tellement injuste que Harry ouvrit la bouche pour répliquer, mais Ron lui donna un petit coup de pied derrière leur chaudron pour l’en dissuader.
HPfrb1ch08-0117	dissuader       	C’était tellement injuste que Harry ouvrit la bouche pour répliquer, mais Ron lui donna un petit coup de pied derrière leur chaudron pour l’en dissuader.
HPfrb1ch08-0118	moral           	Lorsqu’ils remontèrent du cachot, une heure plus tard, Harry remuait de sombres pensées et son moral était au plus bas.
HPfrb1ch08-0119	bordure         	Hagrid habitait une petite maison de bois en bordure de la Forêt interdite.
HPfrb1ch08-0120	arbalète        	Une arbalète et une paire de bottes en caoutchouc étaient posées à côté de la porte.
HPfrb1ch08-0121	aboiement       	Lorsque Harry frappa, un grand fracas retentit à l’intérieur de la maison, accompagné d’aboiements sonores.
HPfrb1ch08-0122	entrebâillement 	Le visage hirsute de Hagrid apparut dans l’entrebâillement de la porte.
HPfrb1ch08-0123	collier         	Il fit entrer Harry et Ron en s’efforçant de retenir par son collier un énorme molosse noir.
HPfrb1ch08-0124	molosse         	Il fit entrer Harry et Ron en s’efforçant de retenir par son collier un énorme molosse noir.
HPfrb1ch08-0125	jambon          	Des jambons et des faisans étaient suspendus au plafond, et une bouilloire en cuivre était posée sur le feu.
HPfrb1ch08-0126	faisan          	Des jambons et des faisans étaient suspendus au plafond, et une bouilloire en cuivre était posée sur le feu.
HPfrb1ch08-0127	courtepointe    	Un coin de la pièce était occupé par un lit massif recouvert d’une courtepointe en patchwork.
HPfrb1ch08-0128	patchwork       	Un coin de la pièce était occupé par un lit massif recouvert d’une courtepointe en patchwork.
HPfrb1ch08-0129	baver           	Ils lui racontèrent leur première semaine de classe pendant que Crockdur, la tête posée sur les genoux de Harry, bavait abondamment sur sa robe de sorcier.
HPfrb1ch08-0130	abondamment     	Ils lui racontèrent leur première semaine de classe pendant que Crockdur, la tête posée sur les genoux de Harry, bavait abondamment sur sa robe de sorcier.
HPfrb1ch08-0131	qualifier       	Harry et Ron furent enchantés d’entendre Hagrid qualifier Rusard de « vieille ganache ».
HPfrb1ch08-0132	ganache         	Harry et Ron furent enchantés d’entendre Hagrid qualifier Rusard de « vieille ganache ».
HPfrb1ch08-0133	impossible      	Impossible de se débarrasser d’elle.
HPfrb1ch08-0134	insister        	– Mais moi, on dirait vraiment qu’il me hait, insista Harry.
HPfrb1ch08-0135	cambriolage     	C’était un article découpé dans La Gazette du sorcier : « LE CAMBRIOLAGE DE GRINGOTTS »
HPfrb1ch08-0136	enquête         	L’enquête sur le cambriolage qui s’est produit le 31 juillet dans les locaux de la banque Gringotts se poursuit.
HPfrb1ch08-0137	piste           	La piste suivie par les enquêteurs devrait les mener dans les milieux de la magie noire.
HPfrb1ch08-0138	enquêteur       	La piste suivie par les enquêteurs devrait les mener dans les milieux de la magie noire.
HPfrb1ch08-0139	fracturer       	La chambre forte fracturée avait en effet été vidée le même jour.
HPfrb1ch08-0140	vivement        	« Mais nous ne vous révélerons pas ce qu’elle contenait et, dans votre propre intérêt, nous vous conseillons vivement de ne pas vous mêler de cette affaire », a déclaré le porte-parole des gobelins.
HPfrb1ch08-0141	tentative       	Harry se souvenait de ce que Ron lui avait dit dans le train : il y avait eu une tentative de cambriolage à Gringotts.
HPfrb1ch08-0142	fuir            	Cette fois, il n’y avait vraiment aucun doute : Hagrid fuyait le regard de Harry.
HPfrb1ch08-0143	relire          	Harry relut l’article.
